city,year,crime_name,incidences,rate
Agra,2014,Acid attack,1,0.1
Ahmedabad,2014,Acid attack,3,0
Allahabad,2014,Acid attack,2,0.2
Amritsar,2014,Acid attack,1,0.1
Asansol,2014,Acid attack,2,0.2
Aurangabad,2014,Acid attack,0,0
Bengaluru,2014,Acid attack,0,0
Bhopal,2014,Acid attack,0,0
Chandigarh,2014,Acid attack,0,0
Chennai,2014,Acid attack,2,0
Coimbatore,2014,Acid attack,0,0
Delhi,2014,Acid attack,20,0.1
Dhanbad,2014,Acid attack,0,0
Durg-Bhilainagar,2014,Acid attack,0,0
Faridabad,2014,Acid attack,1,0.1
Ghaziabad,2014,Acid attack,1,0
Gwalior,2014,Acid attack,0,0
Hyderabad,2014,Acid attack,0,0
India,2014,Acid attack,203,0
Indore,2014,Acid attack,2,0.1
Jabalpur,2014,Acid attack,0,0
Jaipur,2014,Acid attack,0,0
Jamshedpur,2014,Acid attack,1,0.1
Jodhpur,2014,Acid attack,0,0
Kannur,2014,Acid attack,0,0
Kanpur,2014,Acid attack,0,0
Kochi,2014,Acid attack,0,0
Kolkata,2014,Acid attack,0,0
Kollam,2014,Acid attack,0,0
Kota,2014,Acid attack,0,0
Kozhikode,2014,Acid attack,0,0
Lucknow,2014,Acid attack,0,0
Ludhiana,2014,Acid attack,2,0.1
Madurai,2014,Acid attack,0,0
Malappuram,2014,Acid attack,0,0
Meerut,2014,Acid attack,0,0
Mumbai,2014,Acid attack,2,0
Nagpur,2014,Acid attack,0,0
Nasik,2014,Acid attack,0,0
Patna,2014,Acid attack,0,0
Pune,2014,Acid attack,0,0
Raipur,2014,Acid attack,0,0
Rajkot,2014,Acid attack,0,0
Ranchi,2014,Acid attack,0,0
Srinagar,2014,Acid attack,2,0.2
Surat,2014,Acid attack,0,0
Thiruvananthapuram,2014,Acid attack,0,0
Thrissur,2014,Acid attack,0,0
Tiruchirappalli,2014,Acid attack,0,0
Vadodara,2014,Acid attack,1,0.1
Varanasi,2014,Acid attack,0,0
Vasai-Virar,2014,Acid attack,1,0.1
Vijayawada,2014,Acid attack,0,0
Vishakhapatnam,2014,Acid attack,1,0.1
Agra,2014,Agrarian riots,0,0
Ahmedabad,2014,Agrarian riots,0,0
Allahabad,2014,Agrarian riots,0,0
Amritsar,2014,Agrarian riots,0,0
Asansol,2014,Agrarian riots,0,0
Aurangabad,2014,Agrarian riots,0,0
Bengaluru,2014,Agrarian riots,0,0
Bhopal,2014,Agrarian riots,0,0
Chandigarh,2014,Agrarian riots,0,0
Chennai,2014,Agrarian riots,0,0
Coimbatore,2014,Agrarian riots,0,0
Delhi,2014,Agrarian riots,0,0
Dhanbad,2014,Agrarian riots,0,0
Durg-Bhilainagar,2014,Agrarian riots,0,0
Faridabad,2014,Agrarian riots,0,0
Ghaziabad,2014,Agrarian riots,0,0
Gwalior,2014,Agrarian riots,0,0
Hyderabad,2014,Agrarian riots,0,0
India,2014,Agrarian riots,628,0.1
Indore,2014,Agrarian riots,0,0
Jabalpur,2014,Agrarian riots,0,0
Jaipur,2014,Agrarian riots,6,0.2
Jamshedpur,2014,Agrarian riots,0,0
Jodhpur,2014,Agrarian riots,0,0
Kannur,2014,Agrarian riots,0,0
Kanpur,2014,Agrarian riots,0,0
Kochi,2014,Agrarian riots,0,0
Kolkata,2014,Agrarian riots,0,0
Kollam,2014,Agrarian riots,0,0
Kota,2014,Agrarian riots,0,0
Kozhikode,2014,Agrarian riots,0,0
Lucknow,2014,Agrarian riots,0,0
Ludhiana,2014,Agrarian riots,0,0
Madurai,2014,Agrarian riots,0,0
Malappuram,2014,Agrarian riots,0,0
Meerut,2014,Agrarian riots,0,0
Mumbai,2014,Agrarian riots,0,0
Nagpur,2014,Agrarian riots,0,0
Nasik,2014,Agrarian riots,0,0
Patna,2014,Agrarian riots,0,0
Pune,2014,Agrarian riots,0,0
Raipur,2014,Agrarian riots,0,0
Rajkot,2014,Agrarian riots,0,0
Ranchi,2014,Agrarian riots,0,0
Srinagar,2014,Agrarian riots,0,0
Surat,2014,Agrarian riots,2,0
Thiruvananthapuram,2014,Agrarian riots,0,0
Thrissur,2014,Agrarian riots,0,0
Tiruchirappalli,2014,Agrarian riots,0,0
Vadodara,2014,Agrarian riots,0,0
Varanasi,2014,Agrarian riots,0,0
Vasai-Virar,2014,Agrarian riots,2,0.2
Vijayawada,2014,Agrarian riots,0,0
Vishakhapatnam,2014,Agrarian riots,0,0
Agra,2010,Arson,1,0.1
Agra,2011,Arson,1,0.1
Agra,2012,Arson,0,0
Agra,2013,Arson,2,0.1
Agra,2014,Arson,5,0.3
Ahmedabad,2010,Arson,4,0.1
Ahmedabad,2011,Arson,6,0.1
Ahmedabad,2012,Arson,16,0.3
Ahmedabad,2013,Arson,24,0.4
Ahmedabad,2014,Arson,4,0.1
Allahabad,2010,Arson,1,0.1
Allahabad,2011,Arson,2,0.2
Allahabad,2012,Arson,5,0.4
Allahabad,2013,Arson,4,0.3
Allahabad,2014,Arson,0,0
Amritsar,2010,Arson,4,0.4
Amritsar,2011,Arson,4,0.3
Amritsar,2012,Arson,6,0.5
Amritsar,2013,Arson,3,0.3
Amritsar,2014,Arson,2,0.2
Asansol,2010,Arson,3,0.3
Asansol,2011,Arson,0,0
Asansol,2012,Arson,1,0.1
Asansol,2013,Arson,3,0.2
Asansol,2014,Arson,10,0.8
Aurangabad,2011,Arson,26,2.2
Aurangabad,2012,Arson,24,2
Aurangabad,2013,Arson,29,2.4
Aurangabad,2014,Arson,35,2.9
Bengaluru,2010,Arson,7,0.1
Bengaluru,2011,Arson,4,0
Bengaluru,2012,Arson,0,0
Bengaluru,2013,Arson,16,0.2
Bengaluru,2014,Arson,100,1.2
Bhopal,2010,Arson,9,0.6
Bhopal,2011,Arson,15,0.8
Bhopal,2012,Arson,10,0.5
Bhopal,2013,Arson,16,0.8
Bhopal,2014,Arson,12,0.6
Chandigarh,2011,Arson,7,0.7
Chandigarh,2012,Arson,9,0.9
Chandigarh,2013,Arson,8,0.8
Chandigarh,2014,Arson,12,1.2
Chennai,2010,Arson,1,0
Chennai,2011,Arson,7,0.1
Chennai,2012,Arson,10,0.1
Chennai,2013,Arson,22,0.3
Chennai,2014,Arson,17,0.2
Coimbatore,2010,Arson,8,0.6
Coimbatore,2011,Arson,23,1.1
Coimbatore,2012,Arson,21,1
Coimbatore,2013,Arson,16,0.7
Coimbatore,2014,Arson,14,0.7
Delhi,2010,Arson,48,0.4
Delhi,2011,Arson,33,0.2
Delhi,2012,Arson,72,0.4
Delhi,2013,Arson,85,0.5
Delhi,2014,Arson,166,1
Dhanbad,2010,Arson,1,0.1
Dhanbad,2011,Arson,0,0
Dhanbad,2012,Arson,1,0.1
Dhanbad,2013,Arson,1,0.1
Dhanbad,2014,Arson,0,0
Durg-Bhilainagar,2011,Arson,22,2.1
Durg-Bhilainagar,2012,Arson,17,1.6
Durg-Bhilainagar,2013,Arson,26,2.4
Durg-Bhilainagar,2014,Arson,36,3.4
Faridabad,2010,Arson,5,0.5
Faridabad,2011,Arson,9,0.6
Faridabad,2012,Arson,9,0.6
Faridabad,2013,Arson,4,0.3
Faridabad,2014,Arson,7,0.5
Ghaziabad,2011,Arson,0,0
Ghaziabad,2012,Arson,0,0
Ghaziabad,2013,Arson,0,0
Ghaziabad,2014,Arson,1,0
Gwalior,2011,Arson,11,1
Gwalior,2012,Arson,11,1
Gwalior,2013,Arson,12,1.1
Gwalior,2014,Arson,10,0.9
Hyderabad,2010,Arson,15,0.3
Hyderabad,2011,Arson,50,0.6
Hyderabad,2012,Arson,101,1.3
Hyderabad,2013,Arson,62,0.8
Hyderabad,2014,Arson,20,0.3
India,2010,Arson,8508,0.7
India,2011,Arson,9064,0.7
India,2012,Arson,11836,1
India,2013,Arson,9357,0.8
India,2014,Arson,9289,0.7
Indore,2010,Arson,18,1.1
Indore,2011,Arson,37,1.7
Indore,2012,Arson,51,2.4
Indore,2013,Arson,46,2.1
Indore,2014,Arson,39,1.8
Jabalpur,2010,Arson,1,0.1
Jabalpur,2011,Arson,13,1
Jabalpur,2012,Arson,14,1.1
Jabalpur,2013,Arson,11,0.9
Jabalpur,2014,Arson,4,0.3
Jaipur,2010,Arson,5,0.2
Jaipur,2011,Arson,24,0.8
Jaipur,2012,Arson,20,0.7
Jaipur,2013,Arson,30,1
Jaipur,2014,Arson,26,0.8
Jamshedpur,2010,Arson,6,0.5
Jamshedpur,2011,Arson,15,1.1
Jamshedpur,2012,Arson,2,0.1
Jamshedpur,2013,Arson,2,0.1
Jamshedpur,2014,Arson,1,0.1
Jodhpur,2011,Arson,12,1.1
Jodhpur,2012,Arson,13,1.1
Jodhpur,2013,Arson,27,2.4
Jodhpur,2014,Arson,11,1
Kannur,2011,Arson,18,1.1
Kannur,2012,Arson,29,1.8
Kannur,2013,Arson,33,2
Kannur,2014,Arson,20,1.2
Kanpur,2010,Arson,0,0
Kanpur,2011,Arson,3,0.1
Kanpur,2012,Arson,0,0
Kanpur,2013,Arson,2,0.1
Kanpur,2014,Arson,3,0.1
Kochi,2010,Arson,2,0.1
Kochi,2011,Arson,5,0.2
Kochi,2012,Arson,3,0.1
Kochi,2013,Arson,5,0.2
Kochi,2014,Arson,3,0.1
Kolkata,2010,Arson,0,0
Kolkata,2011,Arson,0,0
Kolkata,2012,Arson,0,0
Kolkata,2013,Arson,0,0
Kolkata,2014,Arson,0,0
Kollam,2011,Arson,17,1.5
Kollam,2012,Arson,14,1.3
Kollam,2013,Arson,17,1.5
Kollam,2014,Arson,13,1.2
Kota,2011,Arson,2,0.2
